Title,Employer,Location,Salary,Closing Date,URL,Description
Open Call for PhD Students Worldwide - Inflection Award,Inflection,"Paris, France",All travel and program costs fully covered,30 Dec 2024,https://www.nature.com/naturecareers/job/12831688/open-call-for-phd-students-worldwide-inflection-award/?LinkSource=PremiumListing,About the Award
2025 Sandell Grant and Dissertation Fellowship Programs,Center for Retirement Research at Boston College,"Chestnut Hill, Massachusetts","The awards range from $28,000 to $50,000",29 Dec 2024,https://www.nature.com/naturecareers/job/12831647/2025-sandell-grant-and-dissertation-fellowship-programs/,Announcing the 2025 Sandell Grant and Dissertation Fellowship Programs
Academic employee (m/f/d) for the Institute of Molecular Medicine,Universität Ulm,"89081, Ulm (DE)","""-""",2 Dec 2024,https://www.nature.com/naturecareers/job/12831583/academic-employee-m-f-d-for-the-institute-of-molecular-medicine/,For the Institute of Molecular Medicine we are looking for two
Postdoc in synchrotron-based gas catalysis studies of model surfaces,Chalmers University,"Gothenburg (Stad), Västra Götaland (SE)",Competitive,23 Dec 2024,https://www.nature.com/naturecareers/job/12831442/postdoc-in-synchrotron-based-gas-catalysis-studies-of-model-surfaces/,Reference number REF 2024-0535
PhD position in synchrotron-based gas catalysis studies of model surfaces,Chalmers University,"Gothenburg (Stad), Västra Götaland (SE)",Competitive,23 Dec 2024,https://www.nature.com/naturecareers/job/12831441/phd-position-in-synchrotron-based-gas-catalysis-studies-of-model-surfaces/,Reference number REF 2024-0534
"Fully funded PhD positions Mathematical & Physical Sciences, Life Sciences, Information Sciences",Institute of Science and Technology Austria (ISTA),Austria (AT),from 2874 EUR/month to 3456 EUR/month paid 14 times a year,23 Dec 2024,https://www.nature.com/naturecareers/job/12831418/fully-funded-phd-positions-mathematical-and-physical-sciences-life-sciences-information-sciences/?LinkSource=PremiumListing,
M-2456 PHD IN ELUCIDATING THE INTERACTIONS BETWEEN TIRE COMPOUND INGREDIENTS,Luxembourg Institute of Science and Technology (LIST),Luxembourg,/,22 Dec 2024,https://www.nature.com/naturecareers/job/12831359/m-2456-phd-in-elucidating-the-interactions-between-tire-compound-ingredients/,
M-2456 PHD IN ELUCIDATING THE INTERACTIONS BETWEEN TIRE COMPOUND INGREDIENTS,Luxembourg Institute of Science and Technology (LIST),Luxembourg,/,22 Dec 2024,https://www.nature.com/naturecareers/job/12831345/m-2456-phd-in-elucidating-the-interactions-between-tire-compound-ingredients/,
Tenure track position in Clinical Neuroscience of Women’s Mental Health (endowed chair),Northwestern University Feinberg School of Medicine,"Chicago, Illinois",Negotiable,21 Dec 2024,https://www.nature.com/naturecareers/job/12831331/tenure-track-position-in-clinical-neuroscience-of-women-s-mental-health-endowed-chair-/,"The Department of Psychiatry and Behavioral Sciences at Northwestern University is seeking a full-time, tenure-track Investigator at the rank of Associate or Full Professor to fill the recently established Carol W. Asher Professorship in Psychiatry and Behavioral Sciences."
SD-25165 - PHD IN HIGH-RESOLUTION CHEMICAL IMAGING FOR NANO-TOXICOLOGICAL STUDIES,Luxembourg Institute of Science and Technology (LIST),Luxembourg,paid on 13 months,21 Dec 2024,https://www.nature.com/naturecareers/job/12831324/sd-25165-phd-in-high-resolution-chemical-imaging-for-nano-toxicological-studies/,"The Luxembourg Institute of Science and Technology (LIST) is a Research and Technology Organization (RTO) active in the fields of materials, environment and IT. By transforming scientific knowledge into technologies, smart data and tools, LIST empowers citizens in their choices, public authorities in their decisions and businesses in their strategies."
Doctoral researcher in Ultrafast Physics,University of Luxembourg,"Luxembourg (Canton), Luxembourg",Negotiable,16 Dec 2024,https://www.nature.com/naturecareers/job/12831148/doctoral-researcher-in-ultrafast-physics/,About the FSTM
21 Interdisciplinary PhD positions in Ultrafast Science and Quantum Materials – IMPRS UFAST,International Max Planck Research School for Ultrafast Imaging and Structural Dynamics,Hamburg (DE),A 3-year employment contract based on the German federal pay agreement,3 Dec 2024,https://www.nature.com/naturecareers/job/12830426/21-interdisciplinary-phd-positions-in-ultrafast-science-and-quantum-materials-imprs-ufast/,"The International Max Planck Research School for Ultrafast Imaging and Structural Dynamics in Hamburg, Germany, offers a structured PhD program focusing on ultra-fast phenomena, X-ray physics and dynamical imaging in all areas of science covering physics, chemistry and biology."
"Director, Division of International Training and Research, Fogarty International Center",Kristen.Weymouth@nih.gov,"Bethesda, MD (NIH Main Campus)",See job description for salary and benefit details.,3 Dec 2024,https://www.nature.com/naturecareers/job/12830449/director-division-of-international-training-and-research-fogarty-international-center/,"Vacancy Announcement                                                                           Department of Health and Human Services
National Institutes of Health"
Thesis offer for a CIFRE contract between the Université Côte d’Azur and the company 2MS,Université Côte d'Azur,"Nice (Ville), Alpes-Maritimes (FR)",.,2 Dec 2024,https://www.nature.com/naturecareers/job/12830371/thesis-offer-for-a-cifre-contract-between-the-universite-cote-d-azur-and-the-company-2ms/,Subject: Thesis offer for a CIFRE contract between the Université Côte d’Azur and the company 2MS
